2.19878	0.4778	0.460577	0.495893	0.0775	0.186	0.465	
3.51067	0.492698	0.498765	0.526722	0.06975	0.17825	0.31	
6.50164	0.512188	0.499472	0.477141	0.06975	0.30225	0.465	
5.48642	0.519778	0.498461	0.488502	0.08525	0.17825	0.31	
3.28825	0.5022	0.445849	0.470144	0.0775	0.186	0.3255	
4.46033	0.494618	0.352592	0.387187	0.0775	0.186	0.31	
3.05348	0.590205	0.517567	0.453456	0.0775	0.17825	0.31775	
4.17523	0.645975	0.616494	0.428663	0.06975	0.186	0.31775	
1.59764	0.751113	0.692991	0.329124	0.06975	0.17825	0.31	
3.38657	0.830007	0.753231	0.237767	0.0775	0.17825	0.31775	
