5.22137	0.664588	0.48439	0.259662	0.093	0.14725	0.341	
5.41179	0.628107	0.518865	0.338925	0.093	0.1395	0.341	
5.42787	0.631555	0.588257	0.423876	0.093	0.13175	0.341	
4.85973	0.587128	0.522862	0.434401	0.10075	0.1395	0.341	
3.94012	0.574918	0.513067	0.432767	0.093	0.13175	0.403	
5.17709	0.569949	0.560168	0.521339	0.093	0.13175	0.39525	
4.95015	0.549697	0.483001	0.436089	0.093	0.34875	0.3875	
4.67128	0.514519	0.424805	0.401092	0.093	0.1395	0.3875	
3.06453	0.509698	0.466885	0.478636	0.093	0.1395	0.34875	
3.544	0.520708	0.485639	0.485559	0.093	0.14725	0.403	
