5.37379	0.829125	0.677922	0.187876	0.31775	0.3565	0.4185	
1.50386	0.709762	0.636974	0.331977	0.2635	0.341	0.41075	
4.91819	0.686121	0.530695	0.244258	0.2635	0.33325	0.403	
2.24058	0.728099	0.555815	0.250502	0.2635	0.33325	0.403	
5.20608	0.704724	0.526695	0.272082	0.31	0.34875	0.41075	
5.02804	0.694298	0.483023	0.233953	0.27125	0.341	0.41075	
2.07005	0.721606	0.467513	0.206439	0.27125	0.31775	0.403	
2.39855	0.695826	0.47314	0.228324	0.2635	0.31775	0.403	
5.41597	0.667925	0.431609	0.203266	0.31775	0.3565	0.403	
1.87407	0.686696	0.460451	0.227309	0.2635	0.31775	0.39525	
